# Photometry of EPIC-210508766
# 
# Description
# 
#     This photometry was produced by Erik Petigura using the `k2phot`
#     code. We used a stationary 13.0 pixel aperture to
#     construct simple aperture photometry from the K2 target pixel
#     file. We then modeled time- and position-dependent photometric
#     variability. The size and shape of the aperture was chosen to
#     minimize noise on three-hour timescales.
# 
# Attribution
# 
#     If you use this photometry, please cite
# 
#     1. Petigura et al. 2015, ApJ, 811, 102
#     2. Aigrain et al. 2016, MNRAS, 459, 2408
# 
# Code Availability
# 
#     Public URL: https://github.com/petigura/k2phot
#     Version: v1.0
#     Git SHA: 0e63443fee2083618488daec2635a9d1af284731
# 
# Column Description
# 
#     t (float): Time [BJD_TDB]
#     cad (int): Unique cadence number
#     fbg (float): Background flux [e-/s/pixel]
#     fsap (float): Simple aperture photometry [e-/s]
#     fdt_t_rollmed (float): Flux after removing variability associated with
#          pixel position [e-/s]
#     fdt_t_roll_2D (float): Flux after removing variability associated with
#          pixel position and time [e-/s]
#     bgmask (bool): Outlier in background flux
#     thrustermask (bool): Thruster fire
#     fdtmask (bool): Observation excluded from Gaussian process model
#     fmask (bool): Observation ignored in transit search
#
t,cad,fsap,fbg,fdt_t_rollmed,fdt_t_roll_2D,bgmask,thrustermask,fdtmask,fmask
2457061.800262,103744,40151.110936,13.710151,40635.922874,40332.107976,False,False,False,False
2457061.820694,103745,40159.767194,14.520751,40622.180072,40317.542672,False,False,False,False
2457061.841126,103746,40189.726676,13.878369,40631.804788,40326.347703,False,False,False,False
2457061.861559,103747,40198.112801,14.912834,40622.918562,40316.644609,False,False,False,False
2457061.881991,103748,40242.458910,13.720327,40647.076197,40339.988197,False,False,False,False
2457061.902423,103749,40245.059076,14.092497,40630.454657,40322.555432,False,False,False,False
2457061.922856,103750,40285.616393,13.568822,40655.094282,40346.386659,False,False,False,False
2457061.943288,103751,40285.865650,14.978069,40638.892063,40329.378873,False,False,False,False
2457061.963720,103752,40312.147400,14.560822,40644.633260,40334.317338,False,False,False,False
2457061.984153,103753,40318.472250,13.812975,40641.130171,40330.014345,False,False,False,False
2457062.004585,103754,40338.101112,14.114098,40646.036411,40334.123524,False,False,False,False
2457062.025017,103755,40342.320628,14.521615,40634.112189,40321.405086,False,False,False,False
2457062.045450,103756,40370.478001,13.775280,40648.734022,40335.235539,False,False,False,False
2457062.065882,103757,40370.899152,14.463393,40642.546012,40328.259000,False,False,False,False
2457062.086314,103758,40396.436563,14.072940,40653.260417,40338.187730,False,False,False,False
2457062.106747,103759,40377.663591,15.531042,40626.023981,40310.168462,False,False,False,False
2457062.127179,103760,40407.077388,13.859475,40652.246802,40335.611310,False,False,False,False
2457062.147612,103761,40424.674820,13.722092,40661.778411,40344.365799,False,False,False,False
2457062.168044,103762,40446.802692,13.135738,40679.062689,40360.875824,False,False,False,False
2457062.188476,103763,40424.793544,14.308938,40650.220678,40331.262419,False,False,False,False
2457062.208909,103764,40426.720190,14.495241,40649.411529,40329.684735,False,False,False,False
2457062.229341,103765,40421.541582,14.745779,40640.826402,40320.333948,False,False,False,False
2457062.249773,103766,40420.972050,15.211224,40635.123711,40313.868460,False,False,False,False
2457062.270206,103767,40433.639226,14.277793,40648.702158,40326.686978,False,False,False,False
2457062.290638,103768,40462.929086,13.882480,40678.095954,40355.323724,False,False,False,False
2457062.311070,103769,40435.339522,14.006291,40651.238666,40327.712256,False,False,False,False
2457062.331502,103770,40441.090701,13.629769,40655.126228,40330.848512,False,False,False,False
2457062.351935,103771,40436.576584,14.295349,40655.120645,40330.094503,False,False,False,False
2457062.372367,103772,40425.262287,14.760754,40648.674727,40322.903041,False,False,False,False
2457062.392799,103773,40417.963130,14.420342,40643.710617,40317.196267,False,False,False,False
2457062.413232,103774,40422.616302,13.311066,40654.845234,40327.591105,False,False,False,False
2457062.433664,103775,40412.155183,15.119906,40654.492598,40326.501573,False,False,False,False
2457062.454096,103776,40408.215076,13.802441,40659.078984,40330.353950,False,False,False,False
2457062.474529,103777,40515.273604,13.927434,40647.241727,40317.785572,False,True,True,True
2457062.494961,103778,40513.875869,14.559529,40643.940450,40313.756060,False,False,False,False
2457062.515393,103779,40518.096357,14.256235,40642.580697,40311.670968,False,False,False,False
2457062.535826,103780,40534.593226,14.217141,40657.584905,40325.952727,False,False,False,False
2457062.556258,103781,40539.742110,12.868398,40659.735404,40327.383666,False,False,False,False
2457062.576690,103782,40535.046177,14.270306,40656.489921,40323.421525,False,False,False,False
2457062.597123,103783,40536.661776,14.054159,40658.459001,40324.676839,False,False,False,False
2457062.617555,103784,40548.697896,13.951804,40671.808112,40337.315079,False,False,False,False
2457062.637987,103785,40553.339140,14.270563,40678.640574,40343.439570,False,False,False,False
2457062.658420,103786,40537.388740,14.392255,40664.221025,40328.314950,False,False,False,False
2457062.678852,103787,40521.070084,15.303009,40653.288819,40316.680566,False,False,False,False
2457062.699284,103788,40527.410990,13.544607,40660.624694,40323.317167,False,False,False,False
2457062.719717,103789,40565.804129,14.366442,40654.834152,40316.830249,False,True,True,True
2457062.740149,103790,40564.944411,14.227300,40656.654805,40317.957433,False,False,False,False
2457062.760581,103791,40585.333616,13.966516,40672.650901,40333.262961,False,False,False,False
2457062.781014,103792,40603.179499,14.147566,40686.990032,40346.914423,False,False,False,False
2457062.801446,103793,40588.277768,14.532180,40669.363042,40328.602674,False,False,False,False
2457062.821878,103794,40605.356808,13.284382,40683.524856,40342.082630,False,False,False,False
2457062.842311,103795,40605.195954,14.637736,40681.600324,40339.479141,False,False,False,False
2457062.862743,103796,40589.222253,14.327273,40662.382010,40319.584779,False,False,False,False
2457062.883175,103797,40598.772073,14.118320,40669.362440,40325.892068,False,False,False,False
2457062.903608,103798,40608.823489,13.296342,40678.784185,40334.643573,False,False,False,False
2457062.924040,103799,40591.535808,14.280679,40658.490277,40313.682333,False,False,False,False
2457062.944472,103800,40623.454310,13.567208,40687.848200,40342.375834,False,False,False,False
2457062.964904,103801,40609.972651,13.504800,40675.394923,40329.261036,False,False,False,False
2457062.985337,103802,40632.047435,13.122216,40697.186260,40350.393760,False,False,False,False
2457063.005769,103803,40612.421558,13.545589,40679.220046,40331.771842,False,False,False,False
2457063.026201,103804,40605.286519,14.361091,40676.083886,40327.982878,False,False,False,False
2457063.046634,103805,40604.895010,14.655764,40678.853436,40330.102535,False,False,False,False
2457063.067066,103806,40594.994311,14.347413,40671.711059,40322.313166,False,False,False,False
2457063.087498,103807,40591.321357,15.293569,40671.872810,40321.830839,False,False,False,False
2457063.107931,103808,40599.831765,14.385371,40683.609519,40332.926371,False,False,False,False
2457063.128363,103809,40603.872929,13.453350,40689.845122,40338.523701,False,False,False,False
2457063.148795,103810,40590.007868,15.294485,40681.312431,40329.355647,False,False,False,False
2457063.169228,103811,40594.894063,13.504027,40692.529435,40339.940190,False,False,False,False
2457063.189660,103812,40601.524317,13.064451,40706.020411,40352.801607,False,False,False,False
2457063.210092,103813,40619.622313,13.983561,40670.394917,40316.549463,False,True,True,True
2457063.230524,103814,40630.789628,14.136058,40694.845691,40340.376488,False,True,True,True
2457063.250957,103815,40620.752029,14.050766,40675.505011,40320.414958,False,False,False,False
2457063.271389,103816,40658.158019,14.198964,40708.214512,40352.506517,False,False,False,False
2457063.291821,103817,40627.777440,14.612601,40671.853800,40315.530762,False,False,False,False
2457063.312254,103818,40653.025965,14.380186,40694.283046,40337.347863,False,False,False,False
2457063.332686,103819,40664.990465,13.425085,40702.991194,40345.446771,False,False,False,False
2457063.353118,103820,40669.067648,13.268496,40704.343261,40346.192495,False,False,False,False
2457063.373551,103821,40650.558560,14.422973,40684.669456,40325.915242,False,False,False,False
2457063.393983,103822,40664.316261,13.888145,40698.698849,40339.344090,False,False,False,False
2457063.414415,103823,40668.347333,13.487884,40700.896240,40340.943829,False,False,False,False
2457063.434848,103824,40648.180745,15.015998,40682.659117,40322.111946,False,False,False,False
2457063.455280,103825,40656.591704,14.868718,40691.418553,40330.279524,False,False,False,False
2457063.475712,103826,40658.435378,14.379323,40693.359971,40331.631970,False,False,False,False
2457063.496144,103827,40658.851752,14.355802,40694.330171,40332.016094,False,False,False,False
2457063.516577,103828,40667.298740,14.045605,40706.844343,40343.947083,False,False,False,False
2457063.537009,103829,40657.138868,14.314707,40700.162286,40336.684728,False,False,False,False
2457063.557441,103830,40645.690468,14.201637,40694.239742,40330.184775,False,False,False,False
2457063.577874,103831,40645.457714,14.676472,40698.092592,40333.463107,False,False,False,False
2457063.598306,103832,40652.454641,13.864649,40710.934346,40345.733223,False,False,False,False
2457063.618738,103833,40624.570079,15.064775,40690.008908,40324.239035,False,False,False,False
2457063.639170,103834,40607.799617,14.908570,40679.406764,40313.071026,False,False,False,False
2457063.659603,103835,40617.644786,13.510682,40695.087938,40328.189210,False,False,False,False
2457063.680035,103836,40609.164593,13.242680,40690.498946,40323.040110,False,False,False,False
2457063.720900,103838,40651.908001,13.843624,40702.916312,40334.345895,False,True,True,True
2457063.741332,103839,40658.610183,14.293485,40705.956207,40336.834313,False,False,False,False
2457063.761764,103840,40662.391077,14.245840,40704.883599,40335.213101,False,False,False,False
2457063.782197,103841,40672.815327,13.638836,40711.313045,40341.096813,False,False,False,False
2457063.802629,103842,40662.137691,14.786889,40694.563530,40323.804435,False,False,False,False
2457063.823061,103843,40676.458139,14.413481,40704.708272,40333.409180,False,False,False,False
2457063.843493,103844,40690.941789,13.378505,40714.841928,40343.005704,False,False,False,False
2457063.863926,103845,40677.511999,14.000795,40697.017413,40324.646925,False,False,False,False
2457063.884358,103846,40700.699168,13.914285,40717.596361,40344.694469,False,False,False,False
2457063.904790,103847,40680.063013,14.443830,40693.493768,40320.063329,False,False,False,False
2457063.925223,103848,40680.206124,14.058047,40691.442933,40317.486809,False,False,False,False
